,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
84,1968Q1,34.199999999999996,0.46,0.85661290322580645161,4.79,909.387,,6.126666666666666,3.7333333333333334,91.71774174193548,3.07
85,1968Q2,34.53333333333333,-0.3266666666666666,-0.11032258064516129032,5.983333333333333,934.344,,6.253333333333333,3.566666666666667,97.91406791525424,3.07
86,1968Q3,35.0,-0.6466666666666666,-0.42078125000000000000,5.946666666666666,950.825,,6.076666666666667,3.533333333333333,99.8817304423077,3.07
87,1968Q4,35.43333333333333,-0.2266666666666666,-0.07419354838709677419,5.916666666666667,968.03,,6.243333333333333,3.4,105.20679247169812,3.07
88,1969Q1,35.86666666666667,-0.32,-0.19754098360655737705,6.566666666666666,993.337,,6.7,3.4,100.95499998333334,3.1300000000000003
89,1969Q2,36.43333333333333,-1.9833333333333336,-1.6301587301587302,8.326666666666666,1009.02,,6.886666666666667,3.433333333333333,101.66730146031746,3.35
90,1969Q3,36.93333333333333,-1.7333333333333334,-1.6355555555555556,8.983333333333333,1029.956,,7.063333333333333,3.566666666666667,94.46714260317461,3.35
91,1969Q4,37.5,-1.336666666666667,-1.1259016393442623,8.94,1038.147,,7.466666666666666,3.566666666666667,94.209062484375,3.35
92,1970Q1,38.1,-1.38,-0.78416666666666666667,8.573333333333332,1051.2,,7.8933333333333335,4.166666666666666,88.76737726229508,3.35
93,1970Q2,38.63333333333333,-1.0533333333333337,-0.05630769230769230769,7.886666666666667,1067.375,,8.14,4.766666666666667,79.24738427692307,3.35
94,1970Q3,39.03333333333333,-0.1966666666666666,0.81546875000000000000,6.706666666666667,1086.059,,8.22,5.166666666666666,78.627187796875,3.31
95,1970Q4,39.6,-0.06,0.97633333333333333333,5.566666666666666,1088.608,,7.906666666666666,5.833333333333334,86.29875028125,3.393333333333333
96,1971Q1,39.93333333333333,0.06,1.5714754098360656,3.856666666666667,1135.156,,7.216666666666666,5.933333333333334,96.86758061290323,3.56
97,1971Q2,40.300000000000004,-0.11,1.5768253968253968,4.566666666666666,1156.271,,7.473333333333334,5.9,101.4214283968254,3.56
98,1971Q3,40.699999999999996,-0.1999999999999999,1.0467187500000000,5.476666666666667,1177.675,,7.5566666666666675,6.033333333333333,98.5171875,3.56
99,1971Q4,41.0,-0.3466666666666667,1.0926229508196721,4.75,1190.297,,7.3,5.933333333333334,96.45718753125,3.56
100,1972Q1,41.333333333333336,0.2633333333333333,2.1536507936507937,3.546666666666667,1230.609,,7.233333333333333,5.766666666666667,105.44952328571429,3.56
101,1972Q2,41.6,-0.0666666666666666,1.6659375000000000,4.3,1266.369,,7.276666666666666,5.7,108.1351565,3.56
102,1972Q3,41.93333333333333,-0.0133333333333333,1.3496825396825397,4.743333333333333,1290.566,,7.206666666666667,5.566666666666666,109.28730204761905,3.56
103,1972Q4,42.36666666666667,0.03,1.00116666666666666667,5.1466666666666665,1328.904,,7.136666666666667,5.366666666666666,113.83229503278689,3.56
104,1973Q1,43.03333333333333,-0.5499999999999999,0.06967741935483870968,6.536666666666666,1377.49,,7.22,4.933333333333334,114.98580667741936,3.56
105,1973Q2,43.93333333333334,-1.0266666666666666,-1.1001587301587302,7.816666666666666,1413.887,,7.3066666666666675,4.933333333333334,107.36761906349207,3.56
106,1973Q3,44.800000000000004,-2.1533333333333333,-3.1660317460317460,10.56,1433.838,,7.586666666666666,4.8,105.02238088888889,4.06
107,1973Q4,45.93333333333334,-2.3833333333333333,-3.1590000000000000,9.996666666666666,1476.289,,7.6499999999999995,4.766666666666667,102.574844015625,4.31
108,1974Q1,47.29999999999999,-1.843333333333333,-2.2957377049180328,9.323333333333332,1491.209,,7.896666666666666,5.133333333333334,95.74596801612904,10.11
109,1974Q2,48.56666666666666,-2.97,-3.1282539682539683,11.25,1530.056,,8.363333333333333,5.2,90.634762,10.11
110,1974Q3,49.93333333333334,-3.563333333333334,-3.6132812500000000,12.089999999999998,1560.026,,8.986666666666666,5.633333333333334,75.891093765625,10.11
111,1974Q4,51.46666666666667,-1.89,-1.6462295081967213,9.346666666666666,1599.679,,9.016666666666667,6.6,69.37968746875,11.160000000000002
112,1975Q1,52.56666666666666,-0.4366666666666667,0.97850000000000000000,6.303333333333334,1616.116,60.03,8.706666666666665,8.266666666666667,78.60475385245901,11.160000000000002
113,1975Q2,53.199999999999996,0.3133333333333333,2.3171875000000000,5.419999999999999,1651.853,60.96,8.873333333333333,8.866666666666667,89.004218890625,11.160000000000002
114,1975Q3,54.26666666666667,0.6266666666666667,2.0579687500000000,6.16,1709.82,61.19,8.913333333333332,8.466666666666667,87.700468765625,11.160000000000002
115,1975Q4,55.26666666666667,0.5533333333333333,2.4373770491803279,5.413333333333334,1761.831,62.24,8.81,8.3,89.06031259375,11.160000000000002
116,1976Q1,55.9,0.4333333333333333,2.6522580645161290,4.826666666666667,1820.487,62.78,8.556666666666667,7.7333333333333325,99.54190492063492,11.763333333333334
117,1976Q2,56.4,0.3266666666666666,2.2819047619047619,5.196666666666666,1852.332,65.42,8.533333333333333,7.566666666666667,101.62904715873016,12.17
118,1976Q3,57.300000000000004,0.1266666666666666,2.0240625000000000,5.283333333333333,1886.558,66.56,8.463333333333333,7.7333333333333325,104.2993751875,12.746666666666668
119,1976Q4,58.13333333333333,-0.0566666666666666,1.5754098360655738,4.873333333333334,1934.273,67.25,8.183333333333334,7.7666666666666675,102.63492017460318,13.9
120,1977Q1,59.199999999999996,0.21,2.1065079365079365,4.66,1988.648,69.53,8.033333333333333,7.5,101.76730125396826,13.9
121,1977Q2,60.23333333333333,-0.0866666666666666,1.6623809523809524,5.156666666666666,2055.909,72.73,8.013333333333334,7.133333333333334,99.03587326984128,13.9
122,1977Q3,61.06666666666666,-0.0633333333333333,1.1401587301587302,5.82,2118.473,74.39,7.946666666666666,6.9,97.97650757142857,14.533333333333333
