Quarter,fed_6_m_quarterly
2007Q4,-0.93
2008Q1,-1.0866666666666667
2008Q2,-0.25333333333333335
2008Q3,-0.12
2008Q4,0.22333333333333336
2009Q1,0.20666666666666667
2009Q2,0.14
2009Q3,0.09000000000000001
2009Q4,0.04
2010Q1,0.049999999999999996
2010Q2,0.023333333333333334
2010Q3,0.006666666666666667
2010Q4,-0.0033333333333333335
2011Q1,0.013333333333333334
2011Q2,0.01
2011Q3,-0.023333333333333334
2011Q4,-0.023333333333333334
2012Q1,0.006666666666666667
2012Q2,-0.006666666666666667
2012Q3,0.0
2012Q4,-0.023333333333333334
2013Q1,-0.03
2013Q2,-0.03
2013Q3,-0.023333333333333334
2013Q4,0.006666666666666667
2014Q1,0.0033333333333333335
2014Q2,-0.04
2014Q3,-0.04
2014Q4,-0.023333333333333334
2015Q1,-0.023333333333333334
2015Q2,-0.03666666666666667
2015Q3,0.036666666666666674
2015Q4,0.14666666666666667
2016Q1,0.08333333333333333
2016Q2,0.02
2016Q3,0.03333333333333333
2016Q4,0.10666666666666667
2017Q1,0.006666666666666668
2017Q2,0.06333333333333334
2017Q3,-0.03
2017Q4,0.15000000000000002
2018Q1,0.29
2018Q2,0.26666666666666666
2018Q3,0.2733333333333334
2018Q4,0.22666666666666666
2019Q1,0.043333333333333335
2019Q2,-0.11333333333333334
2019Q3,-0.2733333333333333
2019Q4,-0.07333333333333333
2020Q1,-0.16
2020Q2,0.10666666666666667
2020Q3,0.03666666666666667
2020Q4,0.01
2021Q1,-0.013333333333333334
2021Q2,-0.02666666666666667
2021Q3,-0.03666666666666667
2021Q4,0.013333333333333336
2022Q1,0.48
2022Q2,0.8366666666666666
2022Q3,0.96
2022Q4,0.7633333333333333
2023Q1,0.2333333333333333
2023Q2,0.016666666666666666
2023Q3,0.02666666666666666
2023Q4,-0.09999999999999999
2024Q1,-0.25666666666666665
2024Q2,-0.17333333333333334
2024Q3,-0.54
